SUMLEV,REGION,DIVISION,STATE,NAME,ALLWATER2013,SURFACEWATER2013,GROUNDWATER2013,PUBLICWATER2013,AVERAGEWATER2013,ALLWATER2012,SURFACEWATER2012,GROUNDWATER2012,PUBLICWATER2012,AVERAGEWATER2012,ALLWATER2011,SURFACEWATER2011,GROUNDWATER2011,PUBLICWATER2011,AVERAGEWATER2011,ALLWATER2010,SURFACEWATER2010,GROUNDWATER2010,PUBLICWATER2010,AVERAGEWATER2010,ALLWATER2009,SURFACEWATER2009,GROUNDWATER2009,PUBLICWATER2009,AVERAGEWATER2009,ALLWATER2008,SURFACEWATER2008,GROUNDWATER2008,PUBLICWATER2008,AVERAGEWATER2008,ALLWATER2007,SURFACEWATER2007,GROUNDWATER2007,PUBLICWATER2007,AVERAGEWATER2007,ALLWATER2006,SURFACEWATER2006,GROUNDWATER2006,PUBLICWATER2006,AVERAGEWATER2006,ALLWATER2005,SURFACEWATER2005,GROUNDWATER2005,PUBLICWATER2005,AVERAGEWATER2005,ALLWATER2004,SURFACEWATER2004,GROUNDWATER2004,PUBLICWATER2004,AVERAGEWATER2004
40,6,6,1,gansu,268.9,262.22,138.91,132.22,1042.33,266.95,258.95,139.1,131.13,1038.36,242.21,233.01,129.29,120.09,945.37,215.2,206.7,124.2,115.7,841.7,209.02,201.79,123.59,116.36,794.32,187.5,179.3,114.3,106.2,714.97,228.73,219.08,136.94,127.28,875.86,184.59,176.39,128.75,120.55,709.95,269.6,260.34,150.2,140.94,1042.4,171.93,162.29,105.96,96.32,656.48
40,8,9,2,qinghai,645.61,629.54,290.77,274.72,11216.59,895.22,879.21,400.52,384.51,15687.17,733.12,715.07,331.11,313.06,12956.77,741.1,715.8,340.1,314.8,13225,895.11,873.94,392.31,371.14,16113.59,658.1,640,298.5,280.4,11900.54,661.62,643.68,293.7,275.76,12029.45,569,551.1,285,267.1,10430.8,876.1,857.56,374.2,355.66,16176.9,606.81,588.75,261.98,243.92,11258.07
40,2,2,4,guangxi,2057.33,2056.26,478.12,477.05,4376.83,2087.4,2086.36,587.34,586.3,4476.04,1350.02,1350.02,271.21,271.21,2917.39,1823.6,1823.6,355.8,355.8,3852.9,1484.31,1484.31,256.84,256.84,3069.3,2282.5,2282.5,504.8,504.8,4763.15,1386.26,1386.26,341.3,341.3,2922.44,1881.08,1881.08,453.19,453.19,4011.25,1720.82,1720.82,365.69,365.69,3703.8,1604.52,1604.52,321.53,321.53,3281.89
40,2,3,5,guizhou,759.44,759.44,235.63,235.63,2174.15,974.02,974.02,253.32,253.32,2801.82,626.02,626.02,216.61,216.61,1802.11,956.5,956.5,251.4,251.4,2726.8,910.03,910.03,248.97,248.97,2397.65,1140.7,1140.7,265,265,3019.72,1054.62,1054.62,259.9,259.9,2805.22,814.63,814.63,235.14,235.14,2176.13,834.63,834.63,237.87,237.87,2244.4,990.99,990.99,254.68,254.68,2538.42
40,2,3,6,chongqing,474.35,474.35,96.39,96.39,1603.87,476.89,476.89,97.79,97.79,1626.5,514.58,514.58,98.31,98.31,1773.3,464.3,464.3,96.3,96.3,1616.8,455.92,455.92,81.86,81.86,1600.27,576.9,576.9,88.4,88.4,2040.32,662.96,662.96,77.51,77.51,2357.61,380.32,380.32,57.45,57.45,1356.83,509.78,509.78,107.68,107.68,1827.4,558.76,558.76,104.8,104.8,1789.77
40,1,1,8,beijing,2481,943,1874,336,11859,39.5,17.95,26.49,4.94,193.24,26.81,9.17,21.16,3.52,134.71,23.1,7.2,18.9,3,124.2,21.84,6.76,17.76,2.68,126.61,34.2,12.8,24.9,3.5,205.53,23.81,7.6,18.75,2.54,148.16,22.07,6.67,18.16,2.76,141.52,23.18,7.58,18.46,2.86,151.21,21.34,8.15,16.54,3.35,142.99
40,2,2,9,fujian,1151.9,1150.65,337.56,336.31,3062.75,1511.44,1510.07,349.28,347.91,4047.78,774.85,773.52,243.41,242.08,2090.52,1652.7,1651.5,353.8,352.6,4491.7,800.81,799.59,244.65,243.43,2214.94,1036.9,1035.7,303.9,302.7,2886.29,1072.9,1071.71,311.95,310.76,3005.74,1623.48,1622.26,454.6,453.38,4577.7,1401.12,1399.95,397.69,396.52,3975.5,712.23,710.99,234.98,233.74,2028.56
40,2,3,10,anhui,585.59,525.41,144.5,84.32,974.52,701,640.64,159.33,98.97,1172.63,602.25,544.17,143.52,85.44,1010.09,922.8,876.3,197.8,151.3,1526.9,733.1,685.92,185.43,138.25,1195.34,699.3,651.9,178.1,130.7,1141.43,712.46,666.1,181.84,135.48,1165.29,580.5,532.77,159.12,111.39,949.3,719.25,672.2,195.37,148.32,1178.8,500.65,462.01,151.97,113.33,774.88
40,2,3,11,guangdong,2263.17,2253.75,532.54,523.12,2131.24,2026.55,2017.49,485.79,476.73,1921,1471.26,1461.25,362.14,352.14,1404.82,1998.8,1989.5,478.3,468.9,1943.3,1613.68,1604.07,407.64,398.04,1682.49,2206.8,2197.3,506.9,497.3,2323.8,1581.15,1571.8,406.33,396.98,1686.29,2216.17,2206.5,487.02,477.35,2396.12,1747.49,1738.47,400.81,391.79,1906.4,1187.67,1177.76,331.42,321.51,1430.23
40,8,9,12,xizang,4415.74,4415.74,991.73,991.73,142530.58,4196.35,4196.35,951.89,951.89,137378.05,4402.71,4402.71,990.86,990.86,145779.84,4593,4593,1033.6,1033.6,153681.9,4029.16,4029.16,871.45,871.45,139658.93,4560.2,4560.2,1054.3,1054.3,159726.8,4321.38,4321.38,966.05,966.05,152969.2,4157.14,4157.14,933.43,933.43,149001.43,4451.07,4451.07,1013.33,1013.33,161170.6,4665.16,4665.16,1137.2,1137.2,170261.31
